text,label
The quick brown fox jumps over the lazy dog,Human
"To be or not to be, that is the question",Human
Generated by AI: The future of technology is highly unpredictable,AI
Generated by AI: Exploring the depths of neural networks,AI
"Romeo, Romeo! wherefore art thou Romeo?",Human
AI Generated: Analyzing trends in machine learning,AI
"Once upon a midnight dreary, while I pondered, weak and weary",Human
AI Generated: Natural Language Processing and its future impacts,AI
Call me Ishmael,Human
Generated by AI: The integration of AI in everyday life,AI
Generated by AI: The,AI
chatgpt generated: there,AI
A outlier,AI
A outlier,AI
